shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg3_2_mrc,index_sdg1,sdg1_4_abs
San Antonio de Lomerio,49.700001,191,-61.874107,-16.80662,12.5,31.200001,0,0,0,28,35,76,27.6,49.650002,60.599998
Pojo,48.0,225,-64.863896,-17.600149,30.200001,14.7,4,0,0,66,0,85,31.799999,23.940001,17.0
Entre Ríos,54.700001,88,-64.54646,-17.313036,30.200001,14.7,0,1,0,171,0,82,29.799999,36.529999,35.599998
Poroma,35.700001,339,-65.385579,-18.622064,40.599998,16.9,2,0,0,37,13,92,48.599998,1.24,4.2
Colomi,50.099998,182,-65.921012,-17.232227,18.1,23.4,0,0,0,9,0,71,40.099998,42.630001,45.599998
Alalay,40.5,321,-65.629983,-17.773109,30.200001,14.7,0,0,0,0,0,78,61.5,2.28,5.2
Vila Vila,41.099998,316,-65.671509,-17.978234,30.200001,14.7,2,0,0,0,0,60,55.700001,6.08,13.2
Ixiamas,50.5,173,-68.018773,-13.090371,38.5,13.6,0,0,2,10,129,121,34.5,32.82,37.799999
Ayata,43.599998,296,-68.712244,-15.32086,38.5,13.6,0,0,0,46,0,61,49.900002,21.07,24.9
Uyuni,56.400002,67,-66.788994,-20.065646,18.0,18.9,0,0,0,16,110,68,51.900002,51.049999,38.799999
Waldo Ballivian,47.099998,249,-68.219748,-17.115032,23.1,21.700001,0,0,0,0,0,38,55.200001,15.5,7.9
Curahuara de Carangas,54.700001,89,-68.666535,-17.988321,31.5,19.5,0,0,0,26,0,98,62.5,36.75,29.0
Choquecota,47.0,253,-67.956176,-18.123006,52.599998,12.2,0,0,0,0,0,34,38.700001,12.46,6.4
Escara,49.099998,203,-68.159131,-18.694869,52.599998,12.2,0,0,0,0,0,43,15.7,14.75,4.3
Coipasa,49.900002,187,-68.311266,-19.324869,31.5,19.5,0,0,0,0,0,75,86.0,26.280001,1.6
Chipaya,45.200001,282,-68.047556,-19.062518,31.5,19.5,0,0,0,0,0,93,49.5,27.459999,18.299999
Chayanta,45.900002,275,-66.350779,-18.414864,29.5,18.0,0,0,0,29,0,69,79.599998,27.379999,18.299999
Salinas de Garcí Mendoza,49.299999,198,-67.614543,-19.436868,31.5,19.5,0,0,0,7,0,105,50.299999,25.620001,9.9
Tupiza,59.900002,29,-65.79641,-21.491327,18.0,18.9,0,0,0,69,31,62,37.0,63.369999,60.200001
Atocha,56.5,61,-66.169933,-21.070168,18.0,18.9,0,0,0,41,0,80,48.099998,61.32,20.5
San Pedro de Quemes,55.599998,71,-68.173844,-20.999802,29.5,18.0,0,0,0,0,0,76,34.799999,31.84,21.0
San Julián,52.099998,140,-62.81306,-16.792709,7.6,32.799999,0,0,0,63,53,91,21.6,51.27,56.200001
El Puente,54.299999,94,-63.485452,-16.147501,14.2,27.5,0,0,0,0,0,76,22.9,47.200001,57.299999
Comarapa,58.900002,35,-64.432383,-17.8029,12.5,31.200001,27,0,0,34,29,98,28.799999,53.91,55.299999
Bermejo,66.599998,10,-64.328831,-22.672811,14.2,27.5,0,0,0,116,0,52,21.6,79.389999,85.300003
Villa Charcas,43.099998,304,-64.82104,-20.571798,40.599998,16.9,1,0,0,40,0,79,32.599998,11.41,16.200001
Puerto Acosta,45.900002,276,-69.215305,-15.55561,23.1,21.700001,0,0,0,9,22,24,51.400002,20.15,11.0
Escoma,46.200001,269,-69.148516,-15.638435,23.1,21.700001,0,0,0,13,0,26,70.099998,25.49,9.7
